"Index","Ticket","FixVersion","AffectedVersion"
"1","BOOKKEEPER-129","4.0.0","4.0.0"
"2","BOOKKEEPER-107","4.0.0","4.0.0"
"3","BOOKKEEPER-94","4.0.0","4.0.0"
"4","BOOKKEEPER-108","4.0.0","4.0.0"
"5","BOOKKEEPER-131","4.0.0","4.0.0"
"6","BOOKKEEPER-118","4.0.0","4.0.0"
"7","BOOKKEEPER-117","4.0.0","4.0.0"
"8","BOOKKEEPER-103","4.0.0","4.0.0"
"9","BOOKKEEPER-114","4.0.0","4.0.0"
"10","BOOKKEEPER-109","4.0.0","4.0.0"
"11","BOOKKEEPER-92","4.0.0","4.0.0"
"12","BOOKKEEPER-81","4.0.0","4.0.0"
"13","BOOKKEEPER-80","4.0.0","4.0.0"
"14","BOOKKEEPER-79","4.0.0","4.0.0"
"15","BOOKKEEPER-82","4.0.0","4.0.0"
"16","BOOKKEEPER-93","4.0.0","4.0.0"
"17","BOOKKEEPER-69","4.0.0","4.0.0"
"18","BOOKKEEPER-71","4.0.0","4.0.0"
"19","BOOKKEEPER-43","4.0.0","4.0.0"
"20","BOOKKEEPER-44","4.0.0","4.0.0"
"21","BOOKKEEPER-61","4.0.0","4.0.0"
"22","BOOKKEEPER-57","4.0.0","4.0.0"
"23","BOOKKEEPER-52","4.0.0","4.0.0"
"24","BOOKKEEPER-51","4.0.0","4.0.0"
"25","BOOKKEEPER-50","4.0.0","4.0.0"
"26","BOOKKEEPER-53","4.0.0","4.0.0"
"27","BOOKKEEPER-39","4.0.0","4.0.0"
"28","BOOKKEEPER-38","4.0.0","4.0.0"
"29","BOOKKEEPER-815","4.0.0","4.3.0"
"30","BOOKKEEPER-815","4.4.0","4.3.0"
"31","BOOKKEEPER-815","4.3.1","4.3.0"
"32","BOOKKEEPER-695","4.0.0","4.3.0"
"33","BOOKKEEPER-695","4.4.0","4.3.0"
"34","BOOKKEEPER-695","4.3.2","4.3.0"
"35","BOOKKEEPER-279","4.1.0","4.0.0"
"36","BOOKKEEPER-242","4.1.0","4.0.0"
"37","BOOKKEEPER-264","4.1.0","4.0.0"
"38","BOOKKEEPER-186","4.1.0","4.0.0"
"39","BOOKKEEPER-178","4.1.0","4.0.0"
"40","BOOKKEEPER-162","4.1.0","4.0.0"
"41","BOOKKEEPER-167","4.1.0","4.0.0"
"42","BOOKKEEPER-160","4.1.0","4.0.0"
"43","BOOKKEEPER-163","4.1.0","4.0.0"
"44","BOOKKEEPER-152","4.1.0","4.0.0"
"45","BOOKKEEPER-174","4.1.0","4.0.0"
"46","BOOKKEEPER-169","4.1.0","4.0.0"
"47","BOOKKEEPER-156","4.1.0","4.0.0"
"48","BOOKKEEPER-153","4.1.0","4.0.0"
"49","BOOKKEEPER-150","4.1.0","4.0.0"
"50","BOOKKEEPER-142","4.1.0","4.0.0"
"51","BOOKKEEPER-141","4.1.0","4.0.0"
"52","BOOKKEEPER-140","4.1.0","4.0.0"
"53","BOOKKEEPER-133","4.1.0","4.0.0"
"54","BOOKKEEPER-96","4.1.0","4.0.0"
