@relation M1D2BOOK
@attribute Version NUMERIC
@attribute Class NAME
@attribute NFix NUMERIC
@attribute NRevision NUMERIC
@attribute NAuthor NUMERIC
@attribute LocAdded NUMERIC
@attribute LocDeleted NUMERIC
@attribute LocTouched NUMERIC
@attribute MaxLockAdded NUMERIC
@attribute AverageLockAdded NUMERIC
@attribute Size NUMERIC
@attribute Age NUMERIC
@attribute Buggy {'YES'-'NO'}
@data
'1','BenchBookie.java','0','0','0','8321','12876','21197','8321','8321.0','244','13','NO'
'1','BenchReadThroughputLatency.java','0','0','0','9134','15399','24533','9134','9134.0','267','13','NO'
'1','BenchThroughputLatency.java','0','0','0','8863','14401','23264','8863','8863.0','470','13','NO'
'1','package-info.java','0','0','0','0','0','0','0','0','23','292','NO'
'1','TestClient.java','2','58','2','12011','32807','44818','12011','12011.0','299','0','NO'
'1','TestBenchmark.java','0','0','0','9134','15399','24533','9134','9134.0','131','13','NO'
'1','InterfaceAudience.java','0','0','0','0','0','0','0','0','56','294','NO'
'1','InterfaceStability.java','0','0','0','0','0','0','0','0','51','294','NO'
'1','package-info.java','0','0','0','0','0','0','0','0','22','294','NO'
'1','BlockingMpscQueue.java','0','0','0','0','0','0','0','0','160','362','NO'
'1','BusyWait.java','0','0','0','0','0','0','0','0','65','362','NO'
'1','package-info.java','0','0','0','0','0','0','0','0','23','314','NO'
'1','RecyclableArrayList.java','0','0','0','0','0','0','0','0','78','312','NO'
'1','AbstractComponent.java','0','0','0','0','0','0','0','0','44','301','NO'
'1','AbstractLifecycleComponent.java','0','0','0','0','0','0','0','0','132','301','NO'
'1','ComponentStarter.java','0','0','0','0','0','0','0','0','88','301','NO'
'1','Lifecycle.java','0','0','0','0','0','0','0','0','196','301','NO'
'1','LifecycleComponent.java','0','0','0','0','0','0','0','0','50','294','NO'
'1','LifecycleComponentStack.java','0','0','0','0','0','0','0','0','130','301','NO'
'1','LifecycleListener.java','0','0','0','0','0','0','0','0','38','294','NO'
'1','package-info.java','0','0','0','0','0','0','0','0','22','294','NO'
'1','FutureEventListener.java','0','0','0','0','0','0','0','0','44','303','NO'
'1','FutureUtils.java','0','0','0','0','0','0','0','0','368','303','NO'
'1','package-info.java','0','0','0','0','0','0','0','0','22','303','NO'
'1','ComponentConfiguration.java','0','0','0','0','0','0','0','0','321','301','NO'
'1','ConcurrentConfiguration.java','0','0','0','0','0','0','0','0','74','334','NO'
'1','ConfigDef.java','0','0','0','0','0','0','0','0','327','367','NO'
'1','ConfigException.java','0','0','0','0','0','0','0','0','47','367','NO'
'1','ConfigKey.java','0','0','0','0','0','0','0','0','371','367','NO'
'1','ConfigKeyGroup.java','0','0','0','0','0','0','0','0','111','367','NO'
'1','package-info.java','0','0','0','0','0','0','0','0','21','301','NO'
'1','Type.java','0','0','0','0','0','0','0','0','50','367','NO'
'1','Validator.java','0','0','0','0','0','0','0','0','48','367','NO'
'1','ClassValidator.java','0','0','0','0','0','0','0','0','81','367','NO'
'1','NullValidator.java','0','0','0','0','0','0','0','0','46','367','NO'
'1','package-info.java','0','0','0','0','0','0','0','0','23','367','NO'
'1','RangeValidator.java','0','0','0','0','0','0','0','0','94','367','NO'
'1','package-info.java','0','0','0','0','0','0','0','0','22','338','NO'
'1','ServiceURI.java','0','0','0','0','0','0','0','0','252','338','NO'
'1','package-info.java','0','0','0','0','0','0','0','0','22','294','NO'
'1','BroadCastStatsLogger.java','0','0','0','0','0','0','0','0','208','305','NO'
