"Ticket","FixVersion","AffectedVersion"
"BOOKKEEPER-1105","4.6.0","4.5.0"
"BOOKKEEPER-1105","4.5.1","4.5.0"
"BOOKKEEPER-1103","4.5.0","4.5.0"
"BOOKKEEPER-1102","4.5.0","4.5.0"
"BOOKKEEPER-1079","4.5.0","4.5.0"
"BOOKKEEPER-1071","4.5.0","4.5.0"
"BOOKKEEPER-1031","4.5.0","4.4.0"
"BOOKKEEPER-1020","4.5.0","4.5.0"
"BOOKKEEPER-999","4.5.0","4.4.0"
"BOOKKEEPER-987","4.5.0","4.5.0"
"BOOKKEEPER-959","4.5.0","4.4.0"
"BOOKKEEPER-940","4.5.0","4.5.0"
"BOOKKEEPER-938","4.5.0","4.5.0"
"BOOKKEEPER-927","4.5.0","4.3.2"
"BOOKKEEPER-926","4.4.0","4.3.1"
"BOOKKEEPER-924","4.5.0","4.3.2"
"BOOKKEEPER-921","4.4.0","4.4.0"
"BOOKKEEPER-917","4.4.0","4.4.0"
"BOOKKEEPER-911","4.4.0","4.3.2"
"BOOKKEEPER-910","4.4.0","4.3.2"
"BOOKKEEPER-909","4.4.0","4.3.2"
"BOOKKEEPER-908","4.5.0","4.3.2"
"BOOKKEEPER-904","4.4.0","4.4.0"
"BOOKKEEPER-900","4.4.0","4.3.2"
"BOOKKEEPER-899","4.4.0","4.3.2"
"BOOKKEEPER-898","4.4.0","4.3.2"
"BOOKKEEPER-893","4.4.0","4.3.2"
"BOOKKEEPER-890","4.4.0","4.3.2"
"BOOKKEEPER-852","4.5.0","4.3.0"
"BOOKKEEPER-848","4.4.0","4.3.0"
"BOOKKEEPER-821","4.4.0","4.3.0"
"BOOKKEEPER-815","4.0.0","4.3.0"
"BOOKKEEPER-815","4.4.0","4.3.0"
"BOOKKEEPER-815","4.3.1","4.3.0"
"BOOKKEEPER-814","4.4.0","4.3.0"
"BOOKKEEPER-814","4.3.1","4.3.0"
"BOOKKEEPER-813","4.4.0","4.3.0"
"BOOKKEEPER-813","4.3.1","4.3.0"
"BOOKKEEPER-809","4.4.0","4.3.0"
"BOOKKEEPER-809","4.3.1","4.3.0"
"BOOKKEEPER-805","4.4.0","4.3.0"
"BOOKKEEPER-805","4.3.1","4.3.0"
"BOOKKEEPER-804","4.4.0","4.3.0"
"BOOKKEEPER-804","4.3.1","4.3.0"
"BOOKKEEPER-797","4.4.0","4.3.0"
"BOOKKEEPER-768","4.3.0","4.2.2"
"BOOKKEEPER-752","4.2.3","4.2.2"
"BOOKKEEPER-712","4.3.0","4.2.1"
"BOOKKEEPER-712","4.2.3","4.2.1"
"BOOKKEEPER-711","4.3.0","4.2.2"
"BOOKKEEPER-711","4.2.3","4.2.2"
"BOOKKEEPER-695","4.0.0","4.3.0"
"BOOKKEEPER-695","4.4.0","4.3.0"
"BOOKKEEPER-695","4.3.2","4.3.0"
"BOOKKEEPER-688","4.3.0","4.2.0"
"BOOKKEEPER-688","4.2.3","4.2.0"
"BOOKKEEPER-686","4.3.0","4.2.0"
"BOOKKEEPER-668","4.2.2","4.2.1"
"BOOKKEEPER-668","4.3.0","4.2.1"
"BOOKKEEPER-667","4.2.2","4.2.1"
"BOOKKEEPER-667","4.3.0","4.2.1"
"BOOKKEEPER-664","4.2.2","4.2.1"
"BOOKKEEPER-664","4.3.0","4.2.1"
"BOOKKEEPER-660","4.2.2","4.2.0"
"BOOKKEEPER-654","4.3.0","4.2.0"
"BOOKKEEPER-646","4.2.2","4.2.1"
"BOOKKEEPER-646","4.3.0","4.2.1"
"BOOKKEEPER-641","4.3.0","4.2.1"
"BOOKKEEPER-638","4.3.0","4.3.0"
"BOOKKEEPER-636","4.2.2","4.2.1"
"BOOKKEEPER-636","4.3.0","4.2.1"
"BOOKKEEPER-633","4.3.0","4.3.0"
"BOOKKEEPER-632","4.2.2","4.2.1"
"BOOKKEEPER-632","4.3.0","4.2.1"
"BOOKKEEPER-626","4.2.2","4.2.1"
"BOOKKEEPER-626","4.3.0","4.2.1"
"BOOKKEEPER-625","4.2.2","4.2.1"
"BOOKKEEPER-624","4.2.2","4.2.1"
"BOOKKEEPER-624","4.3.0","4.2.1"
"BOOKKEEPER-623","4.2.2","4.2.1"
"BOOKKEEPER-623","4.3.0","4.2.1"
"BOOKKEEPER-621","4.2.2","4.2.1"
"BOOKKEEPER-619","4.2.2","4.2.1"
"BOOKKEEPER-619","4.3.0","4.2.1"
"BOOKKEEPER-607","4.2.2","4.2.0"
"BOOKKEEPER-607","4.3.0","4.2.0"
"BOOKKEEPER-603","4.2.2","4.2.0"
"BOOKKEEPER-603","4.3.0","4.2.0"
"BOOKKEEPER-602","4.3.0","4.2.0"
"BOOKKEEPER-602","4.2.3","4.2.0"
"BOOKKEEPER-601","4.2.2","4.2.0"
"BOOKKEEPER-601","4.3.0","4.2.0"
"BOOKKEEPER-600","4.2.2","4.2.0"
"BOOKKEEPER-600","4.3.0","4.2.0"
"BOOKKEEPER-599","4.3.0","4.2.0"
"BOOKKEEPER-598","4.2.2","4.2.1"
"BOOKKEEPER-598","4.3.0","4.2.1"
"BOOKKEEPER-596","4.2.2","4.2.0"
"BOOKKEEPER-596","4.3.0","4.2.0"
"BOOKKEEPER-584","4.2.2","4.2.0"
"BOOKKEEPER-584","4.3.0","4.2.0"
"BOOKKEEPER-583","4.2.2","4.2.1"
"BOOKKEEPER-583","4.3.0","4.2.1"
"BOOKKEEPER-581","4.2.2","4.2.0"
"BOOKKEEPER-581","4.3.0","4.2.0"
"BOOKKEEPER-568","4.2.1","4.2.0"
"BOOKKEEPER-568","4.3.0","4.2.0"
"BOOKKEEPER-559","4.2.2","4.2.0"
"BOOKKEEPER-559","4.3.0","4.2.0"
"BOOKKEEPER-554","4.2.1","4.2.0"
"BOOKKEEPER-554","4.3.0","4.2.0"
"BOOKKEEPER-543","4.2.0","4.1.0"
"BOOKKEEPER-543","4.1.1","4.1.0"
"BOOKKEEPER-530","4.2.0","4.1.0"
"BOOKKEEPER-524","4.2.0","4.2.0"
"BOOKKEEPER-500","4.2.0","4.1.0"
"BOOKKEEPER-465","4.2.0","4.2.0"
"BOOKKEEPER-457","4.2.0","4.1.0"
"BOOKKEEPER-447","4.2.0","4.2.0"
"BOOKKEEPER-447","4.1.1","4.2.0"
"BOOKKEEPER-446","4.2.2","4.2.0"
"BOOKKEEPER-446","4.3.0","4.2.0"
"BOOKKEEPER-442","4.2.0","4.1.0"
"BOOKKEEPER-441","4.2.0","4.2.0"
"BOOKKEEPER-439","4.2.0","4.1.0"
"BOOKKEEPER-427","4.2.0","4.2.0"
"BOOKKEEPER-424","4.2.0","4.0.0"
"BOOKKEEPER-408","4.2.0","4.1.0"
"BOOKKEEPER-403","4.2.0","4.2.0"
"BOOKKEEPER-397","4.2.0","4.2.0"
"BOOKKEEPER-396","4.2.0","4.1.0"
"BOOKKEEPER-396","4.1.1","4.1.0"
"BOOKKEEPER-387","4.2.0","4.1.0"
"BOOKKEEPER-387","4.1.1","4.1.0"
"BOOKKEEPER-383","4.2.0","4.1.0"
"BOOKKEEPER-382","4.2.0","4.0.0"
"BOOKKEEPER-365","4.2.0","4.0.0"
"BOOKKEEPER-363","4.3.0","4.2.0"
"BOOKKEEPER-355","4.2.0","4.1.0"
"BOOKKEEPER-354","4.2.0","4.2.0"
"BOOKKEEPER-354","4.1.1","4.2.0"
"BOOKKEEPER-352","4.2.0","4.2.0"
"BOOKKEEPER-352","4.1.1","4.2.0"
"BOOKKEEPER-351","4.2.0","4.2.0"
"BOOKKEEPER-349","4.2.0","4.1.0"
"BOOKKEEPER-343","4.2.0","4.1.0"
"BOOKKEEPER-337","4.2.0","4.0.0"
"BOOKKEEPER-336","4.2.0","4.1.0"
"BOOKKEEPER-330","4.2.0","4.0.0"
"BOOKKEEPER-329","4.2.0","4.0.0"
"BOOKKEEPER-329","4.1.1","4.0.0"
"BOOKKEEPER-327","4.2.0","4.0.0"
"BOOKKEEPER-327","4.1.1","4.0.0"
"BOOKKEEPER-326","4.2.0","4.1.0"
"BOOKKEEPER-326","4.1.1","4.1.0"
"BOOKKEEPER-313","4.2.2","4.2.1"
"BOOKKEEPER-313","4.3.0","4.2.1"
"BOOKKEEPER-302","4.2.0","4.1.0"
"BOOKKEEPER-296","4.2.0","4.0.0"
"BOOKKEEPER-296","4.1.1","4.0.0"
"BOOKKEEPER-294","4.2.0","4.1.0"
"BOOKKEEPER-294","4.1.1","4.1.0"
"BOOKKEEPER-286","4.1.0","4.1.0"
"BOOKKEEPER-285","4.1.0","4.1.0"
"BOOKKEEPER-280","4.2.0","4.2.0"
"BOOKKEEPER-279","4.1.0","4.0.0"
"BOOKKEEPER-274","4.2.0","4.0.0"
"BOOKKEEPER-273","4.1.0","4.1.0"
"BOOKKEEPER-263","4.1.0","4.1.0"
"BOOKKEEPER-242","4.1.0","4.0.0"
"BOOKKEEPER-234","4.1.0","4.1.0"
"BOOKKEEPER-232","4.1.0","4.1.0"
"BOOKKEEPER-231","4.1.0","4.1.0"
"BOOKKEEPER-229","4.1.0","4.1.0"
"BOOKKEEPER-217","4.1.0","4.1.0"
"BOOKKEEPER-216","4.1.0","4.1.0"
"BOOKKEEPER-215","4.1.0","4.1.0"
"BOOKKEEPER-209","4.1.0","4.1.0"
"BOOKKEEPER-197","4.1.0","4.1.0"
"BOOKKEEPER-186","4.1.0","4.0.0"
"BOOKKEEPER-174","4.1.0","4.0.0"
"BOOKKEEPER-169","4.1.0","4.0.0"
"BOOKKEEPER-167","4.1.0","4.0.0"
"BOOKKEEPER-163","4.1.0","4.0.0"
"BOOKKEEPER-162","4.1.0","4.0.0"
"BOOKKEEPER-156","4.1.0","4.0.0"
"BOOKKEEPER-153","4.1.0","4.0.0"
"BOOKKEEPER-152","4.1.0","4.0.0"
"BOOKKEEPER-150","4.1.0","4.0.0"
"BOOKKEEPER-142","4.1.0","4.0.0"
"BOOKKEEPER-140","4.1.0","4.0.0"
"BOOKKEEPER-133","4.1.0","4.0.0"
"BOOKKEEPER-131","4.0.0","4.0.0"
"BOOKKEEPER-129","4.0.0","4.0.0"
"BOOKKEEPER-118","4.0.0","4.0.0"
"BOOKKEEPER-107","4.0.0","4.0.0"
"BOOKKEEPER-94","4.0.0","4.0.0"
"BOOKKEEPER-93","4.0.0","4.0.0"
"BOOKKEEPER-92","4.0.0","4.0.0"
"BOOKKEEPER-81","4.0.0","4.0.0"
"BOOKKEEPER-80","4.0.0","4.0.0"
"BOOKKEEPER-79","4.0.0","4.0.0"
"BOOKKEEPER-71","4.0.0","4.0.0"
"BOOKKEEPER-69","4.0.0","4.0.0"
"BOOKKEEPER-61","4.0.0","4.0.0"
"BOOKKEEPER-57","4.0.0","4.0.0"
"BOOKKEEPER-56","4.1.0","4.0.0"
"BOOKKEEPER-55","4.2.0","4.0.0"
"BOOKKEEPER-53","4.0.0","4.0.0"
"BOOKKEEPER-52","4.0.0","4.0.0"
"BOOKKEEPER-51","4.0.0","4.0.0"
"BOOKKEEPER-50","4.0.0","4.0.0"
