"Index","Ticket","FixVersion"
"1","BOOKKEEPER-815","4.0.0"
"2","BOOKKEEPER-815","4.4.0"
"3","BOOKKEEPER-815","4.3.1"
"4","BOOKKEEPER-800","4.0.0"
"5","BOOKKEEPER-800","4.4.0"
"6","BOOKKEEPER-800","4.3.1"
"7","BOOKKEEPER-799","4.0.0"
"8","BOOKKEEPER-799","4.4.0"
"9","BOOKKEEPER-799","4.3.1"
"10","BOOKKEEPER-795","4.0.0"
"11","BOOKKEEPER-795","4.4.0"
"12","BOOKKEEPER-795","4.3.1"
"13","BOOKKEEPER-695","4.0.0"
"14","BOOKKEEPER-695","4.4.0"
"15","BOOKKEEPER-695","4.3.2"
"16","BOOKKEEPER-139","4.0.0"
"17","BOOKKEEPER-138","4.0.0"
"18","BOOKKEEPER-134","4.0.0"
"19","BOOKKEEPER-132","4.0.0"
"20","BOOKKEEPER-131","4.0.0"
"21","BOOKKEEPER-129","4.0.0"
"22","BOOKKEEPER-128","4.0.0"
"23","BOOKKEEPER-127","4.0.0"
"24","BOOKKEEPER-125","4.0.0"
"25","BOOKKEEPER-124","4.0.0"
"26","BOOKKEEPER-122","4.0.0"
"27","BOOKKEEPER-121","4.0.0"
"28","BOOKKEEPER-120","4.0.0"
"29","BOOKKEEPER-119","4.0.0"
"30","BOOKKEEPER-118","4.0.0"
"31","BOOKKEEPER-117","4.0.0"
"32","BOOKKEEPER-115","4.0.0"
"33","BOOKKEEPER-114","4.0.0"
"34","BOOKKEEPER-111","4.0.0"
"35","BOOKKEEPER-109","4.0.0"
"36","BOOKKEEPER-108","4.0.0"
"37","BOOKKEEPER-107","4.0.0"
"38","BOOKKEEPER-106","4.0.0"
"39","BOOKKEEPER-104","4.0.0"
"40","BOOKKEEPER-103","4.0.0"
"41","BOOKKEEPER-102","4.0.0"
"42","BOOKKEEPER-101","4.0.0"
"43","BOOKKEEPER-100","4.0.0"
"44","BOOKKEEPER-94","4.0.0"
"45","BOOKKEEPER-93","4.0.0"
"46","BOOKKEEPER-92","4.0.0"
"47","BOOKKEEPER-91","4.0.0"
"48","BOOKKEEPER-90","4.0.0"
"49","BOOKKEEPER-89","4.0.0"
"50","BOOKKEEPER-88","4.0.0"
"51","BOOKKEEPER-87","4.0.0"
"52","BOOKKEEPER-86","4.0.0"
"53","BOOKKEEPER-84","4.0.0"
"54","BOOKKEEPER-83","4.0.0"
"55","BOOKKEEPER-82","4.0.0"
"56","BOOKKEEPER-81","4.0.0"
"57","BOOKKEEPER-80","4.0.0"
"58","BOOKKEEPER-79","4.0.0"
"59","BOOKKEEPER-71","4.0.0"
"60","BOOKKEEPER-69","4.0.0"
"61","BOOKKEEPER-68","4.0.0"
"62","BOOKKEEPER-66","4.0.0"
"63","BOOKKEEPER-65","4.0.0"
"64","BOOKKEEPER-63","4.0.0"
"65","BOOKKEEPER-62","4.0.0"
"66","BOOKKEEPER-61","4.0.0"
"67","BOOKKEEPER-59","4.0.0"
"68","BOOKKEEPER-58","4.0.0"
"69","BOOKKEEPER-57","4.0.0"
"70","BOOKKEEPER-53","4.0.0"
"71","BOOKKEEPER-52","4.0.0"
"72","BOOKKEEPER-51","4.0.0"
"73","BOOKKEEPER-50","4.0.0"
"74","BOOKKEEPER-44","4.0.0"
"75","BOOKKEEPER-43","4.0.0"
"76","BOOKKEEPER-41","4.0.0"
"77","BOOKKEEPER-39","4.0.0"
"78","BOOKKEEPER-38","4.0.0"
"79","BOOKKEEPER-33","4.0.0"
"80","BOOKKEEPER-30","4.0.0"
"81","BOOKKEEPER-29","4.0.0"
"82","BOOKKEEPER-28","4.0.0"
"83","BOOKKEEPER-27","4.0.0"
"84","BOOKKEEPER-26","4.0.0"
"85","BOOKKEEPER-22","4.0.0"
"86","BOOKKEEPER-19","4.0.0"
"87","BOOKKEEPER-18","4.0.0"
"88","BOOKKEEPER-1","4.0.0"
"89","BOOKKEEPER-11","4.0.0"
"90","BOOKKEEPER-5","4.0.0"
"91","BOOKKEEPER-288","4.1.0"
"92","BOOKKEEPER-287","4.1.0"
"93","BOOKKEEPER-286","4.1.0"
"94","BOOKKEEPER-285","4.1.0"
"95","BOOKKEEPER-281","4.1.0"
"96","BOOKKEEPER-279","4.1.0"
"97","BOOKKEEPER-273","4.1.0"
"98","BOOKKEEPER-271","4.1.0"
"99","BOOKKEEPER-270","4.1.0"
"100","BOOKKEEPER-269","4.1.0"
"101","BOOKKEEPER-267","4.1.0"
"102","BOOKKEEPER-266","4.1.0"
"103","BOOKKEEPER-265","4.1.0"
"104","BOOKKEEPER-264","4.1.0"
"105","BOOKKEEPER-263","4.1.0"
"106","BOOKKEEPER-260","4.1.0"
"107","BOOKKEEPER-258","4.1.0"
"108","BOOKKEEPER-254","4.1.0"
"109","BOOKKEEPER-251","4.1.0"
"110","BOOKKEEPER-245","4.1.0"
"111","BOOKKEEPER-242","4.1.0"
"112","BOOKKEEPER-241","4.1.0"
"113","BOOKKEEPER-238","4.1.0"
"114","BOOKKEEPER-236","4.1.0"
"115","BOOKKEEPER-235","4.1.0"
"116","BOOKKEEPER-234","4.1.0"
"117","BOOKKEEPER-232","4.1.0"
"118","BOOKKEEPER-231","4.1.0"
"119","BOOKKEEPER-229","4.1.0"
"120","BOOKKEEPER-228","4.1.0"
"121","BOOKKEEPER-224","4.1.0"
"122","BOOKKEEPER-218","4.1.0"
"123","BOOKKEEPER-217","4.1.0"
"124","BOOKKEEPER-216","4.1.0"
"125","BOOKKEEPER-215","4.1.0"
"126","BOOKKEEPER-213","4.1.0"
"127","BOOKKEEPER-212","4.1.0"
"128","BOOKKEEPER-211","4.1.0"
"129","BOOKKEEPER-210","4.1.0"
"130","BOOKKEEPER-209","4.1.0"
"131","BOOKKEEPER-207","4.1.0"
"132","BOOKKEEPER-200","4.1.0"
"133","BOOKKEEPER-198","4.1.0"
"134","BOOKKEEPER-197","4.1.0"
"135","BOOKKEEPER-196","4.1.0"
"136","BOOKKEEPER-195","4.1.0"
"137","BOOKKEEPER-194","4.1.0"
"138","BOOKKEEPER-193","4.1.0"
"139","BOOKKEEPER-190","4.1.0"
"140","BOOKKEEPER-189","4.1.0"
"141","BOOKKEEPER-188","4.1.0"
"142","BOOKKEEPER-187","4.1.0"
"143","BOOKKEEPER-186","4.1.0"
"144","BOOKKEEPER-185","4.1.0"
"145","BOOKKEEPER-184","4.1.0"
"146","BOOKKEEPER-182","4.1.0"
"147","BOOKKEEPER-180","4.1.0"
"148","BOOKKEEPER-178","4.1.0"
"149","BOOKKEEPER-177","4.1.0"
"150","BOOKKEEPER-176","4.1.0"
"151","BOOKKEEPER-175","4.1.0"
"152","BOOKKEEPER-174","4.1.0"
"153","BOOKKEEPER-173","4.1.0"
"154","BOOKKEEPER-172","4.1.0"
"155","BOOKKEEPER-171","4.1.0"
"156","BOOKKEEPER-170","4.1.0"
"157","BOOKKEEPER-169","4.1.0"
"158","BOOKKEEPER-168","4.1.0"
"159","BOOKKEEPER-167","4.1.0"
"160","BOOKKEEPER-166","4.1.0"
"161","BOOKKEEPER-165","4.1.0"
"162","BOOKKEEPER-163","4.1.0"
"163","BOOKKEEPER-162","4.1.0"
"164","BOOKKEEPER-161","4.1.0"
"165","BOOKKEEPER-160","4.1.0"
"166","BOOKKEEPER-158","4.1.0"
"167","BOOKKEEPER-157","4.1.0"
"168","BOOKKEEPER-156","4.1.0"
"169","BOOKKEEPER-153","4.1.0"
"170","BOOKKEEPER-152","4.1.0"
"171","BOOKKEEPER-150","4.1.0"
"172","BOOKKEEPER-148","4.1.0"
"173","BOOKKEEPER-146","4.1.0"
"174","BOOKKEEPER-145","4.1.0"
"175","BOOKKEEPER-142","4.1.0"
"176","BOOKKEEPER-141","4.1.0"
"177","BOOKKEEPER-140","4.1.0"
"178","BOOKKEEPER-137","4.1.0"
"179","BOOKKEEPER-135","4.1.0"
"180","BOOKKEEPER-133","4.1.0"
"181","BOOKKEEPER-113","4.1.0"
"182","BOOKKEEPER-112","4.1.0"
"183","BOOKKEEPER-98","4.1.0"
"184","BOOKKEEPER-97","4.1.0"
"185","BOOKKEEPER-96","4.1.0"
"186","BOOKKEEPER-95","4.1.0"
"187","BOOKKEEPER-77","4.1.0"
"188","BOOKKEEPER-74","4.1.0"
"189","BOOKKEEPER-73","4.1.0"
"190","BOOKKEEPER-72","4.1.0"
"191","BOOKKEEPER-56","4.1.0"
"192","BOOKKEEPER-40","4.1.0"
"193","BOOKKEEPER-23","4.1.0"
"194","BOOKKEEPER-543","4.2.0"
"195","BOOKKEEPER-543","4.1.1"
"196","BOOKKEEPER-542","4.2.0"
"197","BOOKKEEPER-541","4.2.0"
"198","BOOKKEEPER-540","4.2.0"
