"Index","Ticket","FixVersion","AffectedVersion"
"1","TAJO-649","0.2-incubating","0.2-incubating"
"2","TAJO-277","0.2-incubating","0.2-incubating"
"3","TAJO-277","0.8.0","0.2-incubating"
"4","TAJO-270","0.2-incubating","0.2-incubating"
"5","TAJO-270","0.8.0","0.2-incubating"
"6","TAJO-264","0.2-incubating","0.2-incubating"
"7","TAJO-262","0.2-incubating","0.2-incubating"
"8","TAJO-241","0.2-incubating","0.2-incubating"
"9","TAJO-198","0.2-incubating","0.2-incubating"
"10","TAJO-181","0.2-incubating","0.2-incubating"
"11","TAJO-179","0.2-incubating","0.2-incubating"
"12","TAJO-178","0.2-incubating","0.2-incubating"
"13","TAJO-158","0.2-incubating","0.2-incubating"
"14","TAJO-127","0.2-incubating","0.2-incubating"
"15","TAJO-120","0.2-incubating","0.2-incubating"
"16","TAJO-103","0.2-incubating","0.2-incubating"
"17","TAJO-41","0.2-incubating","0.2-incubating"
"18","TAJO-39","0.2-incubating","0.2-incubating"
"19","TAJO-37","0.2-incubating","0.2-incubating"
"20","TAJO-26","0.2-incubating","0.2-incubating"
"21","TAJO-21","0.2-incubating","0.2-incubating"
"22","TAJO-389","0.8.0","0.2-incubating"
"23","TAJO-332","0.8.0","0.2-incubating"
"24","TAJO-295","0.8.0","0.2-incubating"
"25","TAJO-293","0.8.0","0.2-incubating"
"26","TAJO-292","0.8.0","0.2-incubating"
"27","TAJO-772","0.8.0","0.8.0"
"28","TAJO-772","0.9.0","0.8.0"
"29","TAJO-768","0.8.0","0.8.0"
"30","TAJO-768","0.9.0","0.8.0"
"31","TAJO-765","0.8.0","0.8.0"
"32","TAJO-765","0.9.0","0.8.0"
"33","TAJO-763","0.8.0","0.8.0"
"34","TAJO-763","0.9.0","0.8.0"
"35","TAJO-759","0.8.0","0.8.0"
"36","TAJO-759","0.9.0","0.8.0"
"37","TAJO-755","0.8.0","0.8.0"
"38","TAJO-755","0.9.0","0.8.0"
"39","TAJO-754","0.8.0","0.8.0"
"40","TAJO-754","0.9.0","0.8.0"
"41","TAJO-753","0.8.0","0.8.0"
"42","TAJO-753","0.9.0","0.8.0"
"43","TAJO-752","0.8.0","0.8.0"
"44","TAJO-752","0.9.0","0.8.0"
"45","TAJO-748","0.8.0","0.8.0"
"46","TAJO-748","0.9.0","0.8.0"
"47","TAJO-747","0.8.0","0.8.0"
"48","TAJO-747","0.9.0","0.8.0"
"49","TAJO-745","0.8.0","0.8.0"
"50","TAJO-745","0.9.0","0.8.0"
"51","TAJO-743","0.8.0","0.8.0"
"52","TAJO-743","0.9.0","0.8.0"
"53","TAJO-741","0.8.0","0.8.0"
"54","TAJO-741","0.9.0","0.8.0"
"55","TAJO-737","0.8.0","0.8.0"
"56","TAJO-737","0.9.0","0.8.0"
"57","TAJO-728","0.8.0","0.8.0"
"58","TAJO-728","0.9.0","0.8.0"
"59","TAJO-719","0.8.0","0.8.0"
"60","TAJO-719","0.9.0","0.8.0"
"61","TAJO-718","0.8.0","0.8.0"
"62","TAJO-718","0.9.0","0.8.0"
"63","TAJO-716","0.8.0","0.8.0"
"64","TAJO-716","0.9.0","0.8.0"
"65","TAJO-707","0.8.0","0.8.0"
"66","TAJO-705","0.8.0","0.8.0"
"67","TAJO-705","0.9.0","0.8.0"
"68","TAJO-701","0.8.0","0.8.0"
"69","TAJO-701","0.9.0","0.8.0"
"70","TAJO-694","0.8.0","0.8.0"
"71","TAJO-694","0.9.0","0.8.0"
"72","TAJO-690","0.8.0","0.8.0"
"73","TAJO-690","0.9.0","0.8.0"
"74","TAJO-689","0.8.0","0.8.0"
"75","TAJO-689","0.9.0","0.8.0"
"76","TAJO-686","0.8.0","0.8.0"
"77","TAJO-686","0.9.0","0.8.0"
"78","TAJO-682","0.8.0","0.8.0"
"79","TAJO-682","0.9.0","0.8.0"
"80","TAJO-679","0.8.0","0.8.0"
"81","TAJO-672","0.8.0","0.8.0"
"82","TAJO-672","0.9.0","0.8.0"
"83","TAJO-663","0.8.0","0.8.0"
"84","TAJO-663","0.9.0","0.8.0"
"85","TAJO-659","0.8.0","0.8.0"
"86","TAJO-659","0.9.0","0.8.0"
"87","TAJO-657","0.8.0","0.8.0"
"88","TAJO-657","0.9.0","0.8.0"
"89","TAJO-655","0.8.0","0.8.0"
"90","TAJO-653","0.8.0","0.8.0"
"91","TAJO-653","0.9.0","0.8.0"
"92","TAJO-652","0.8.0","0.8.0"
"93","TAJO-652","0.9.0","0.8.0"
"94","TAJO-651","0.8.0","0.8.0"
"95","TAJO-651","0.9.0","0.8.0"
"96","TAJO-650","0.8.0","0.8.0"
"97","TAJO-650","0.9.0","0.8.0"
"98","TAJO-647","0.8.0","0.8.0"
"99","TAJO-647","0.9.0","0.8.0"
"100","TAJO-646","0.8.0","0.8.0"
"101","TAJO-645","0.8.0","0.8.0"
"102","TAJO-645","0.9.0","0.8.0"
"103","TAJO-644","0.8.0","0.8.0"
"104","TAJO-644","0.9.0","0.8.0"
"105","TAJO-642","0.8.0","0.8.0"
"106","TAJO-642","0.9.0","0.8.0"
"107","TAJO-641","0.8.0","0.8.0"
"108","TAJO-641","0.9.0","0.8.0"
"109","TAJO-640","0.8.0","0.8.0"
"110","TAJO-640","0.9.0","0.8.0"
"111","TAJO-638","0.8.0","0.8.0"
"112","TAJO-638","0.9.0","0.8.0"
"113","TAJO-635","0.8.0","0.8.0"
"114","TAJO-635","0.9.0","0.8.0"
"115","TAJO-632","0.8.0","0.8.0"
"116","TAJO-632","0.9.0","0.8.0"
"117","TAJO-630","0.8.0","0.8.0"
"118","TAJO-630","0.9.0","0.8.0"
"119","TAJO-628","0.8.0","0.8.0"
"120","TAJO-628","0.9.0","0.8.0"
"121","TAJO-620","0.8.0","0.8.0"
"122","TAJO-620","0.9.0","0.8.0"
"123","TAJO-616","0.8.0","0.8.0"
"124","TAJO-616","0.9.0","0.8.0"
"125","TAJO-608","0.8.0","0.8.0"
"126","TAJO-607","0.8.0","0.8.0"
"127","TAJO-606","0.8.0","0.8.0"
"128","TAJO-598","0.8.0","0.8.0"
"129","TAJO-594","0.8.0","0.8.0"
"130","TAJO-592","0.8.0","0.8.0"
"131","TAJO-590","0.8.0","0.8.0"
"132","TAJO-590","0.9.0","0.8.0"
"133","TAJO-588","0.8.0","0.8.0"
"134","TAJO-586","0.8.0","0.8.0"
"135","TAJO-582","0.8.0","0.8.0"
"136","TAJO-580","0.8.0","0.8.0"
"137","TAJO-578","0.8.0","0.8.0"
"138","TAJO-575","0.8.0","0.8.0"
"139","TAJO-563","0.8.0","0.8.0"
"140","TAJO-563","0.9.0","0.8.0"
"141","TAJO-558","0.8.0","0.8.0"
"142","TAJO-557","0.8.0","0.8.0"
"143","TAJO-556","0.8.0","0.8.0"
"144","TAJO-548","0.8.0","0.8.0"
"145","TAJO-545","0.8.0","0.8.0"
"146","TAJO-544","0.8.0","0.8.0"
"147","TAJO-537","0.8.0","0.8.0"
"148","TAJO-536","0.8.0","0.8.0"
"149","TAJO-535","0.8.0","0.8.0"
"150","TAJO-532","0.8.0","0.8.0"
"151","TAJO-531","0.8.0","0.8.0"
"152","TAJO-530","0.8.0","0.8.0"
"153","TAJO-529","0.8.0","0.8.0"
"154","TAJO-529","0.9.0","0.8.0"
"155","TAJO-526","0.8.0","0.8.0"
"156","TAJO-525","0.8.0","0.8.0"
"157","TAJO-522","0.8.0","0.8.0"
"158","TAJO-508","0.8.0","0.8.0"
"159","TAJO-506","0.8.0","0.8.0"
"160","TAJO-503","0.8.0","0.8.0"
"161","TAJO-502","0.8.0","0.8.0"
"162","TAJO-496","0.8.0","0.8.0"
"163","TAJO-492","0.8.0","0.8.0"
"164","TAJO-490","0.8.0","0.8.0"
"165","TAJO-480","0.8.0","0.8.0"
"166","TAJO-480","0.9.0","0.8.0"
"167","TAJO-469","0.8.0","0.8.0"
"168","TAJO-460","0.8.0","0.8.0"
"169","TAJO-450","0.8.0","0.8.0"
"170","TAJO-443","0.8.0","0.8.0"
"171","TAJO-433","0.8.0","0.8.0"
"172","TAJO-431","0.8.0","0.8.0"
"173","TAJO-428","0.8.0","0.8.0"
"174","TAJO-427","0.8.0","0.8.0"
"175","TAJO-427","0.9.0","0.8.0"
"176","TAJO-426","0.8.0","0.8.0"
"177","TAJO-423","0.8.0","0.8.0"
"178","TAJO-422","0.8.0","0.8.0"
"179","TAJO-405","0.8.0","0.8.0"
"180","TAJO-403","0.8.0","0.8.0"
"181","TAJO-402","0.8.0","0.8.0"
"182","TAJO-400","0.8.0","0.8.0"
"183","TAJO-384","0.8.0","0.8.0"
"184","TAJO-378","0.8.0","0.8.0"
