"Ticket","FixVersion","AffectedVersion"
"TAJO-2189","0.12.0","0.12.0"
"TAJO-2188","0.12.0","0.12.0"
"TAJO-2177","0.12.0","0.11.3"
"TAJO-2177","0.11.4","0.11.3"
"TAJO-2168","0.12.0","0.12.0"
"TAJO-2168","0.11.4","0.12.0"
"TAJO-2162","0.11.4","0.11.3"
"TAJO-2158","0.12.0","0.11.3"
"TAJO-2143","0.12.0","0.10.0"
"TAJO-2143","0.11.3","0.10.0"
"TAJO-2140","0.12.0","0.11.0"
"TAJO-2140","0.11.3","0.11.0"
"TAJO-2135","0.12.0","0.11.0"
"TAJO-2135","0.11.3","0.11.0"
"TAJO-2110","0.12.0","0.11.0"
"TAJO-2110","0.11.3","0.11.0"
"TAJO-2107","0.12.0","0.11.1"
"TAJO-2107","0.11.2","0.11.1"
"TAJO-2100","0.12.0","0.11.0"
"TAJO-2100","0.11.2","0.11.0"
"TAJO-2093","0.11.2","0.12.0"
"TAJO-2092","0.12.0","0.11.1"
"TAJO-2092","0.11.2","0.11.1"
"TAJO-2082","0.12.0","0.11.0"
"TAJO-2082","0.11.2","0.11.0"
"TAJO-2081","0.12.0","0.11.0"
"TAJO-2081","0.11.2","0.11.0"
"TAJO-2077","0.12.0","0.10.0"
"TAJO-2077","0.11.2","0.10.0"
"TAJO-2072","0.12.0","0.11.1"
"TAJO-2072","0.11.1","0.11.1"
"TAJO-2066","0.12.0","0.12.0"
"TAJO-2066","0.11.1","0.12.0"
"TAJO-2062","0.12.0","0.12.0"
"TAJO-2038","0.12.0","0.11.0"
"TAJO-2038","0.11.1","0.11.0"
"TAJO-2037","0.12.0","0.12.0"
"TAJO-2037","0.11.1","0.12.0"
"TAJO-2025","0.12.0","0.11.0"
"TAJO-2025","0.11.1","0.11.0"
"TAJO-2016","0.12.0","0.11.0"
"TAJO-2016","0.11.1","0.11.0"
"TAJO-2014","0.12.0","0.11.0"
"TAJO-2014","0.11.1","0.11.0"
"TAJO-2013","0.12.0","0.11.0"
