"Index","Ticket","FixVersion"
"1","TAJO-649","0.2-incubating"
"2","TAJO-288","0.2-incubating"
"3","TAJO-288","0.8.0"
"4","TAJO-281","0.2-incubating"
"5","TAJO-281","0.8.0"
"6","TAJO-278","0.2-incubating"
"7","TAJO-278","0.8.0"
"8","TAJO-277","0.2-incubating"
"9","TAJO-277","0.8.0"
"10","TAJO-276","0.2-incubating"
"11","TAJO-276","0.8.0"
"12","TAJO-273","0.2-incubating"
"13","TAJO-273","0.8.0"
"14","TAJO-272","0.2-incubating"
"15","TAJO-272","0.8.0"
"16","TAJO-271","0.2-incubating"
"17","TAJO-271","0.8.0"
"18","TAJO-270","0.2-incubating"
"19","TAJO-270","0.8.0"
"20","TAJO-265","0.2-incubating"
"21","TAJO-265","0.8.0"
"22","TAJO-264","0.2-incubating"
"23","TAJO-262","0.2-incubating"
"24","TAJO-261","0.2-incubating"
"25","TAJO-261","0.8.0"
"26","TAJO-260","0.2-incubating"
"27","TAJO-257","0.2-incubating"
"28","TAJO-255","0.2-incubating"
"29","TAJO-254","0.2-incubating"
"30","TAJO-253","0.2-incubating"
"31","TAJO-252","0.2-incubating"
"32","TAJO-251","0.2-incubating"
"33","TAJO-250","0.2-incubating"
"34","TAJO-249","0.2-incubating"
"35","TAJO-248","0.2-incubating"
"36","TAJO-245","0.2-incubating"
"37","TAJO-244","0.2-incubating"
"38","TAJO-243","0.2-incubating"
"39","TAJO-242","0.2-incubating"
"40","TAJO-241","0.2-incubating"
"41","TAJO-240","0.2-incubating"
"42","TAJO-239","0.2-incubating"
"43","TAJO-238","0.2-incubating"
"44","TAJO-236","0.2-incubating"
"45","TAJO-232","0.2-incubating"
"46","TAJO-231","0.2-incubating"
"47","TAJO-229","0.2-incubating"
"48","TAJO-228","0.2-incubating"
"49","TAJO-227","0.2-incubating"
"50","TAJO-226","0.2-incubating"
"51","TAJO-224","0.2-incubating"
"52","TAJO-223","0.2-incubating"
"53","TAJO-220","0.2-incubating"
"54","TAJO-216","0.2-incubating"
"55","TAJO-214","0.2-incubating"
"56","TAJO-213","0.2-incubating"
"57","TAJO-212","0.2-incubating"
"58","TAJO-211","0.2-incubating"
