"Version","Class","NFix","NRevision","NAuthor","LocAdded","LocDeleted","LocTouched","MaxLockAdded","AverageLockAdded","Size","Age","Buggy"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/Aggregation.java","2","96","1","50436","118362","168798","50436","50436.0","163","0","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTable.java","0","0","0","145048","281457","426505","145048","145048.0","224","18","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTableOpType.java","0","0","0","0","0","0","0","0","22","18","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTablespace.java","0","0","0","0","0","0","0","0","80","20","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTablespaceSetType.java","0","0","0","0","0","0","0","0","22","20","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/BetweenPredicate.java","1","64","1","22356","53157","75513","22356","22356.0","88","0","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/BinaryOperator.java","3","55","1","40534","114409","154943","40534","40534.0","78","0","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/BooleanLiteral.java","0","0","0","0","0","0","0","0","32","2","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/CaseWhenPredicate.java","1","85","1","50436","118362","168798","50436","50436.0","135","0","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/CastExpr.java","1","36","1","24132","68238","92370","24132","24132.0","53","0","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/ColumnDefinition.java","0","0","0","115795","131461","247256","115795","115795.0","80","18","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/ColumnReferenceExpr.java","3","55","1","33422","90520","123942","33422","33422.0","102","0","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/CommonSubquery.java","0","0","0","0","0","0","0","0","60","90","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/CountRowsFunctionExpr.java","0","19","1","0","0","0","0","0","29","0","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/CreateDatabase.java","0","0","0","114468","134996","249464","114468","114468.0","95","17","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/CreateIndex.java","0","0","0","0","0","0","0","0","146","88","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/CreateTable.java","3","270","1","36108","89962","126070","44260","44260.0","642","0","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/DataTypeExpr.java","1","63","1","24132","68238","92370","24132","24132.0","226","0","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/DateLiteral.java","0","0","0","0","0","0","0","0","61","7","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/DateValue.java","0","0","0","0","0","0","0","0","77","4","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/DropDatabase.java","0","0","0","114468","134996","249464","114468","114468.0","63","17","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/DropIndex.java","0","0","0","0","0","0","0","0","54","88","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/DropTable.java","2","38","1","47396","96507","143903","47396","47396.0","75","0","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/ExistsPredicate.java","1","36","1","0","0","0","0","0","60","0","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/Explain.java","0","0","0","152138","291070","443208","152138","152138.0","45","19","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/Expr.java","2","111","1","82133","191653","273786","82133","82133.0","149","0","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/ExprVisitor.java","0","19","1","0","0","0","0","0","19","0","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/FunctionExpr.java","2","68","1","50436","118362","168798","50436","50436.0","98","0","NO"
