"Dataset","#TrainingRelease","%Training","%DefectiveInTraining","%DefectiveInTesting","Classifier","Balancing","Feature Selection","TruePositive","FalsePositive","TrueNegative","FalseNegative","Precision","Recall","AUC","Kappa"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","Random Forest","No Sampling","No Selection","0.5789473684210527","0.006866110838646395","0.9931338891613536","0.42105263157894735","0.7586206896551724","0.5789473684210527","0.9946245579618492","0.6456950989460801"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","Random Forest","No Sampling","Best First","0.6052631578947368","0.005640019617459539","0.9943599803825405","0.39473684210526316","0.8","0.6052631578947368","0.9876213184997806","0.6792087349810408"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","Random Forest","Oversampling","No Selection","0.881578947368421","0.04070622854340363","0.9592937714565963","0.11842105263157894","0.44666666666666666","0.881578947368421","0.9734196329470071","0.5725301522441183"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","Random Forest","Oversampling","Best First","0.7697368421052632","0.022805296714075527","0.9771947032859245","0.23026315789473684","0.5571428571428572","0.7697368421052632","0.9573021798611291","0.6310258821605259"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","Random Forest","Undersampling","No Selection","0.9473684210526315","0.0622854340362923","0.9377145659637077","0.05263157894736842","0.36180904522613067","0.9473684210526315","0.9675118091943935","0.49750352299787637"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","Random Forest","Undersampling","Best First","0.8026315789473685","0.03359489946051986","0.9664051005394801","0.19736842105263158","0.47104247104247104","0.8026315789473685","0.9406555716166335","0.5743989916821003"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","Random Forest","SMOTE","No Selection","0.6578947368421053","0.006866110838646395","0.9931338891613536","0.34210526315789475","0.78125","0.6578947368421053","0.9955279935985132","0.7045800567094543"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","Random Forest","SMOTE","Best First","0.6447368421052632","0.005640019617459539","0.9943599803825405","0.35526315789473684","0.8099173553719008","0.6447368421052632","0.9883900454299063","0.7086688264642592"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","Naive Bayes","No Sampling","No Selection","0.9736842105263158","0.029916625796959292","0.9700833742030407","0.02631578947368421","0.5481481481481482","0.9736842105263158","0.9869034098242172","0.6870309692421517"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","Naive Bayes","No Sampling","Best First","0.9671052631578947","0.024276606179499755","0.9757233938205002","0.03289473684210526","0.5975609756097561","0.9671052631578947","0.9836913734802922","0.726546474418743"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","Naive Bayes","Oversampling","No Selection","0.9736842105263158","0.03138793526238352","0.9686120647376165","0.02631578947368421","0.5362318840579711","0.9736842105263158","0.9869776206086575","0.6766010091883398"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","Naive Bayes","Oversampling","Best First","0.9671052631578947","0.02501226091221187","0.9749877390877881","0.03289473684210526","0.5903614457831325","0.9671052631578947","0.9868437185410806","0.7207031756198883"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","Naive Bayes","Undersampling","No Selection","0.9736842105263158","0.03138793526238352","0.9686120647376165","0.02631578947368421","0.5362318840579711","0.9736842105263158","0.9858870447329703","0.6766010091883398"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","Naive Bayes","Undersampling","Best First","0.9671052631578947","0.02501226091221187","0.9749877390877881","0.03289473684210526","0.5903614457831325","0.9671052631578947","0.9863339227175344","0.7207031756198883"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","Naive Bayes","SMOTE","No Selection","0.9736842105263158","0.028445316331535065","0.971554683668465","0.02631578947368421","0.5606060606060606","0.9736842105263158","0.9874680570971323","0.6977535154910249"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","Naive Bayes","SMOTE","Best First","0.9671052631578947","0.023540951446787643","0.9764590485532123","0.03289473684210526","0.6049382716049383","0.9671052631578947","0.986881630572262","0.7324759639769617"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","IBK","No Sampling","No Selection","0.5657894736842105","0.006866110838646395","0.9931338891613536","0.4342105263157895","0.7543859649122807","0.5657894736842105","0.779461681422782","0.6353862913608496"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","IBK","No Sampling","Best First","0.5986842105263158","0.006866110838646395","0.9931338891613536","0.40131578947368424","0.7647058823529411","0.5986842105263158","0.7036989236209701","0.6608848862410086"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","IBK","Oversampling","No Selection","0.7631578947368421","0.024031387935262383","0.9759686120647376","0.23684210526315788","0.5420560747663551","0.7631578947368421","0.8723380914276865","0.617820222719071"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","IBK","Oversampling","Best First","0.6973684210526315","0.01544874938695439","0.9845512506130456","0.3026315789473684","0.6272189349112426","0.6973684210526315","0.788383108334839","0.6470828670584652"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","IBK","Undersampling","No Selection","0.8421052631578947","0.06866110838646396","0.931338891613536","0.15789473684210525","0.3137254901960784","0.8421052631578947","0.890400351049276","0.4271479279818674"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","IBK","Undersampling","Best First","0.7368421052631579","0.03776360961255518","0.9622363903874448","0.2631578947368421","0.42105263157894735","0.7368421052631579","0.789483363878062","0.5136421071597063"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","IBK","SMOTE","No Selection","0.5921052631578947","0.006866110838646395","0.9931338891613536","0.40789473684210525","0.7627118644067796","0.5921052631578947","0.7926195761596242","0.6558575628170682"
"BOOK","2","28.57142857142857","0.027410207939508508","0.035916824196597356","IBK","SMOTE","Best First","0.6118421052631579","0.006866110838646395","0.9931338891613536","0.3881578947368421","0.768595041322314","0.6118421052631579","0.756878210423066","0.6708336091219551"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","Random Forest","No Sampling","No Selection","0.875","0.03858980466888995","0.96141019533111","0.125","0.14736842105263157","0.875","0.9820450214387804","0.24244255043694218"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","Random Forest","No Sampling","Best First","0.875","0.05026202953787518","0.9497379704621248","0.125","0.11715481171548117","0.875","0.98050038708909","0.195912766548132"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","Random Forest","Oversampling","No Selection","1.0","0.07908527870414483","0.9209147212958552","0.0","0.08791208791208792","1.0","0.9805711052882324","0.1497919824868144"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","Random Forest","Oversampling","Best First","0.96875","0.07122439256788947","0.9287756074321105","0.03125","0.09393939393939393","0.96875","0.9804668889947594","0.1596805594183318"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","Random Forest","Undersampling","No Selection","1.0","0.09242496426869938","0.9075750357313006","0.0","0.0761904761904762","1.0","0.9837124821343497","0.1293526004201408"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","Random Forest","Undersampling","Best First","0.96875","0.07789423535016675","0.9221057646498333","0.03125","0.08659217877094973","0.96875","0.9812671212482135","0.1471291895440585"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","Random Forest","SMOTE","No Selection","0.875","0.04621248213434969","0.9537875178656503","0.125","0.12612612612612611","0.875","0.9868687470223916","0.2100259193444336"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","Random Forest","SMOTE","Best First","0.90625","0.05669366364935684","0.9433063363506432","0.09375","0.10861423220973783","0.90625","0.9825251607908528","0.18294084550390255"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","Naive Bayes","No Sampling","No Selection","0.9375","0.07384468794664126","0.9261553120533588","0.0625","0.08823529411764706","0.9375","0.9641198189614102","0.14952957855393753"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","Naive Bayes","No Sampling","Best First","0.96875","0.07503573130061934","0.9249642686993806","0.03125","0.08959537572254335","0.96875","0.9661557586946165","0.15228095454326412"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","Naive Bayes","Oversampling","No Selection","1.0","0.0786088613625536","0.9213911386374464","0.0","0.08839779005524862","1.0","0.9636731777036684","0.15062928518752"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","Naive Bayes","Oversampling","Best First","1.0","0.07741781800857551","0.9225821819914245","0.0","0.0896358543417367","1.0","0.9659175500238208","0.1527601622559041"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","Naive Bayes","Undersampling","No Selection","1.0","0.08099094807050977","0.9190090519294902","0.0","0.08602150537634409","1.0","0.9597427346355407","0.14652557218748613"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","Naive Bayes","Undersampling","Best First","1.0","0.0786088613625536","0.9213911386374464","0.0","0.08839779005524862","1.0","0.9640230466888995","0.15062928518752"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","Naive Bayes","SMOTE","No Selection","1.0","0.07956169604573607","0.920438303954264","0.0","0.08743169398907104","1.0","0.9638964983325393","0.1489630845073479"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","Naive Bayes","SMOTE","Best First","1.0","0.07789423535016675","0.9221057646498333","0.0","0.08913649025069638","1.0","0.9660589864221057","0.15190127986442398"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","IBK","No Sampling","No Selection","0.875","0.03049070986183897","0.969509290138161","0.125","0.1794871794871795","0.875","0.9222546450690805","0.28894526116323743"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","IBK","No Sampling","Best First","0.90625","0.04859456884230586","0.9514054311576942","0.09375","0.12446351931330472","0.90625","0.90020173296808","0.20833642243756503"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","IBK","Oversampling","No Selection","0.875","0.0533587422582182","0.9466412577417818","0.125","0.1111111111111111","0.875","0.9199618866126728","0.18625842901403397"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","IBK","Oversampling","Best First","0.90625","0.06002858504049548","0.9399714149595045","0.09375","0.10320284697508897","0.90625","0.9266428954263936","0.17408495826205964"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","IBK","Undersampling","No Selection","1.0","0.1010004764173416","0.8989995235826584","0.0","0.07017543859649122","1.0","0.9494997617913292","0.11868764299360794"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","IBK","Undersampling","Best First","0.96875","0.08384945212005716","0.9161505478799429","0.03125","0.08093994778067885","0.96875","0.9317346057646498","0.13735211775349548"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","IBK","SMOTE","No Selection","0.875","0.03239637922820391","0.9676036207717961","0.125","0.17073170731707318","0.875","0.9213018103858981","0.27655561310751203"
"BOOK","3","42.857142857142854","0.03167099976364925","0.007561436672967864","IBK","SMOTE","Best First","0.90625","0.04954740352548833","0.9504525964745116","0.09375","0.12236286919831224","0.90625","0.9028592484516437","0.20501611291331076"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","Random Forest","No Sampling","No Selection","0.10666666666666667","0.0","1.0","0.8933333333333333","1.0","0.10666666666666667","0.9886480067854113","0.1815819111149621"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","Random Forest","No Sampling","Best First","0.11666666666666667","0.002035623409669211","0.9979643765903308","0.8833333333333333","0.813953488372093","0.11666666666666667","0.9375627650551315","0.18967223122750151"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","Random Forest","Oversampling","No Selection","0.6133333333333333","0.020865139949109414","0.9791348600508906","0.38666666666666666","0.6917293233082706","0.6133333333333333","0.9414893977947413","0.6251913111188685"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","Random Forest","Oversampling","Best First","0.3566666666666667","0.011959287531806615","0.9880407124681934","0.6433333333333333","0.6948051948051948","0.3566666666666667","0.8382370653095844","0.4446450257655827"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","Random Forest","Undersampling","No Selection","0.8933333333333333","0.029516539440203562","0.9704834605597964","0.10666666666666667","0.6979166666666666","0.8933333333333333","0.9798456318914334","0.7649046910909825"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","Random Forest","Undersampling","Best First","0.49666666666666665","0.01628498727735369","0.9837150127226463","0.5033333333333333","0.6995305164319249","0.49666666666666665","0.8276959287531807","0.5546692521263935"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","Random Forest","SMOTE","No Selection","0.10666666666666667","0.0","1.0","0.8933333333333333","1.0","0.10666666666666667","0.9829279050042409","0.1815819111149621"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","Random Forest","SMOTE","Best First","0.11666666666666667","0.0015267175572519084","0.9984732824427481","0.8833333333333333","0.8536585365853658","0.11666666666666667","0.9363214588634436","0.1914898118956434"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","Naive Bayes","No Sampling","No Selection","0.7666666666666667","0.015776081424936386","0.9842239185750636","0.23333333333333334","0.7876712328767124","0.7666666666666667","0.9878727735368956","0.76025350370981"
