"Dataset","#TrainingRelease","%Training","%DefectiveInTraining","%DefectiveInTesting","Classifier","Balancing","Feature Selection","TruePositive","FalsePositive","TrueNegative","FalseNegative","Precision","Recall","AUC","Kappa"
"TAJO","2","40.0","0.0","0.008597528210639442","Random Forest","No Sampling","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Random Forest","No Sampling","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Random Forest","Oversampling","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Random Forest","Oversampling","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Random Forest","Undersampling","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Random Forest","Undersampling","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Random Forest","SMOTE","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Random Forest","SMOTE","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Naive Bayes","No Sampling","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.22559652928416485","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Naive Bayes","No Sampling","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.4313991323210412","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Naive Bayes","Oversampling","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.22532537960954446","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Naive Bayes","Oversampling","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.4313313449023861","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Naive Bayes","Undersampling","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.22559652928416485","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Naive Bayes","Undersampling","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.4313991323210412","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Naive Bayes","SMOTE","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.22640997830802603","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Naive Bayes","SMOTE","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.4316024945770065","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","IBK","No Sampling","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","IBK","No Sampling","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","IBK","Oversampling","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.5070498915401301","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","IBK","Oversampling","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.5017624728850325","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","IBK","Undersampling","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","IBK","Undersampling","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","IBK","SMOTE","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.5043383947939263","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","IBK","SMOTE","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.5010845986984815","0.0"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","Random Forest","No Sampling","No Selection","0.045454545454545456","0.0034285714285714284","0.9965714285714286","0.9545454545454546","0.45454545454545453","0.045454545454545456","0.8464155844155844","0.07267337405677227"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","Random Forest","No Sampling","Best First","0.02727272727272727","0.002857142857142857","0.9971428571428571","0.9727272727272728","0.375","0.02727272727272727","0.7115227272727273","0.043174719823626355"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","Random Forest","Oversampling","No Selection","0.4727272727272727","0.1337142857142857","0.8662857142857143","0.5272727272727272","0.18181818181818182","0.4727272727272727","0.7787168831168831","0.19375334006294168"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","Random Forest","Oversampling","Best First","0.2409090909090909","0.068","0.932","0.759090909090909","0.18213058419243985","0.2409090909090909","0.6498915584415584","0.15019629078110167"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","Random Forest","Undersampling","No Selection","0.9272727272727272","0.37542857142857144","0.6245714285714286","0.07272727272727272","0.13438735177865613","0.9272727272727272","0.8821584415584416","0.14658883921179006"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","Random Forest","Undersampling","Best First","0.4681818181818182","0.18885714285714286","0.8111428571428572","0.5318181818181819","0.13481675392670156","0.4681818181818182","0.6496155844155844","0.12939789189969686"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","Random Forest","SMOTE","No Selection","0.045454545454545456","0.004","0.996","0.9545454545454546","0.4166666666666667","0.045454545454545456","0.8557974025974026","0.07116104868913828"
